First Name,Last Name,Date of Birth,IdentificationNumber,Address,Phone Number,Checking Account Number,Savings Account Number,Credit Account Number,Checking Starting Balance,Savings Starting Balance,Credit Starting Balance,Credit Max
Cruella,De Vil,10-Mar-62,22,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1021,2021,3021,1132.61,4261.53,-319.71,7949
Oscar,Decena,14-Nov-07,71,"500 W. University Ave, El Paso, TX 79968",9157475034,1070,2070,3070,1450.22,529.74,-689.71,8674
Goofy,Disney,5-Mar-51,4,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1003,2003,3003,1456.69,884.26,-141.39,8647
Pluto,Disney,20-Mar-37,5,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1004,2004,3004,1549.67,1622.73,-1289.68,5415
Chip,Disney,25-Aug-05,6,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1005,2005,3005,32.84,3687.14,-1451.7,8089
Dale,Disney,19-Aug-12,7,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1006,2006,3006,894.1,4091.61,-53.21,3219
Cinderella,Disney,3-Mar-47,8,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1007,2007,3007,915.54,2977.94,-4.16,7415
Ariel,Disney,15-Apr-70,9,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1008,2008,3008,1581.97,729.5,-1810.55,7822
Jasmine,Disney,17-Nov-91,10,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1009,2009,3009,633.94,1087.1,-1797.38,9736
Aladdin,Disney,11-Oct-28,11,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1010,2010,3010,140.78,3431.15,-1989.22,7398
Simba,Disney,24-Oct-12,12,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1011,2011,3011,1336.79,373.47,-1220.11,4931
Mufassa,Disney,19-Jan-09,13,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1012,2012,3012,148.68,3846.05,-1112.18,7463
Aurora,Disney,12-Jun-60,14,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1013,2013,3013,343.45,4806.74,-169.44,8372
Woody,Disney,2-Apr-95,16,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1015,2015,3015,258.06,2429.23,-1005.79,7932
Beast,Disney,16-Aug-98,20,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1019,2019,3019,1849.03,4398.81,-160.2,7687
Belle,Disney,5-Oct-54,21,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1020,2020,3020,517.81,2434.75,-1024.19,8396
Gaston,Disney,11-Aug-09,25,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1024,2024,3024,168.24,994.47,-1264.11,3397
Kaa,Disney,22-Feb-69,28,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1027,2027,3027,928.76,423.8,-864.26,3237
Pinocchio,Disney,20-Mar-08,30,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1029,2029,3029,1280.77,1412.45,-14.76,9149
Quasimodo,Disney,17-Sep-71,32,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1031,2031,3031,483.57,2302.79,-1454.15,5023
Hercules,Disney,30-Jun-66,33,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1032,2032,3032,1270.03,1388.27,-1855.19,5094
Mulan,Disney,14-Oct-79,34,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1033,2033,3033,1774.26,1216.15,-397.68,7881
Lilo,Disney,19-Jul-44,35,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1034,2034,3034,1763.47,1942.89,-1715.37,7722
Stitch,Disney,3-Feb-28,36,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1035,2035,3035,387.32,4919.61,-16.87,8172
Donald,Duck,7-Apr-94,2,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1001,2001,3001,1928.58,3582.37,-1513.57,8147
Daniel,E,17-Jun-72,83,"500 W. University Ave, El Paso, TX 79968",9157475046,1082,2082,3082,190.25,3689.98,-269.32,7011
Prince,Eric,10-Feb-05,31,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1030,2030,3030,1250.24,4505.0,-1413.12,7019
Robert,Evans,8-Aug-55,72,"500 W. University Ave, El Paso, TX 79968",9157475035,1071,2071,3071,1223.55,2907.59,-329.08,5198
Daniel,F,24-Mar-86,84,"500 W. University Ave, El Paso, TX 79968",9157475047,1083,2083,3083,214.25,1020.81,-814.22,7196
Daniel,G,18-Nov-77,85,"500 W. University Ave, El Paso, TX 79968",9157475048,1084,2084,3084,1930.6,3788.92,-1101.55,8439
Eduardo,Garcia,2-Jun-92,50,"500 W. University Ave, El Paso, TX 79968",9157475013,1049,2049,3049,1243.42,1243.48,-862.06,6262
Hernan,Garcia,30-Mar-42,57,"500 W. University Ave, El Paso, TX 79968",9157475020,1056,2056,3056,135.23,3011.8,-990.67,8216
Judith,Garcia,7-Mar-97,63,"500 W. University Ave, El Paso, TX 79968",9157475026,1062,2062,3062,1740.54,3508.77,-444.56,5693
Juan,Gutierrez,9-Jan-89,61,"500 W. University Ave, El Paso, TX 79968",9157475024,1060,2060,3060,526.23,3227.73,-1581.21,9566
Daniel,H,2-May-37,86,"500 W. University Ave, El Paso, TX 79968",9157475049,1085,2085,3085,1326.34,3465.11,-1977.56,9853
Sofia,Hernandez,20-Apr-52,74,"500 W. University Ave, El Paso, TX 79968",9157475037,1073,2073,3073,1515.79,740.81,-1721.04,9291
Captaiin,Hook,12-May-01,27,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1026,2026,3026,369.27,3295.28,-1813.88,9203
Daniel,I,23-Dec-35,87,"500 W. University Ave, El Paso, TX 79968",9157475050,1086,2086,3086,1927.47,2348.02,-1927.99,7232
Daniel,J,20-Oct-43,88,"500 W. University Ave, El Paso, TX 79968",9157475051,1087,2087,3087,1924.71,2813.64,-986.39,8702
Anthony,Jasso,8-Dec-44,42,"500 W. University Ave, El Paso, TX 79968",9157475005,1041,2041,3041,661.74,547.41,-530.31,3753
Daniel,K,8-May-73,89,"500 W. University Ave, El Paso, TX 79968",9157475052,1088,2088,3088,1082.73,3471.09,-88.26,6307
Shere,Khan,21-Nov-91,26,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1025,2025,3025,688.77,1735.62,-115.92,7035
Simba,King,21-Dec-35,24,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1023,2023,3023,1472.05,1684.46,-1863.46,8835
Daniel,L,19-Jul-98,90,"500 W. University Ave, El Paso, TX 79968",9157475053,1089,2089,3089,585.99,180.84,-777.42,9320
Laurence,Labayen,11-Mar-10,65,"500 W. University Ave, El Paso, TX 79968",9157475028,1064,2064,3064,1079.13,4572.26,-1064.52,5079
Isaiah,Landin,28-Feb-28,58,"500 W. University Ave, El Paso, TX 79968",9157475021,1057,2057,3057,1816.52,1600.38,-407.11,6858
Buzz,Lightyear,12-Mar-63,17,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1016,2016,3016,629.61,33.53,-1215.99,3624
Scar,Lion,29-Jul-29,23,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1022,2022,3022,941.51,4326.32,-140.99,4563
Federico,Marin,18-Jan-09,53,"500 W. University Ave, El Paso, TX 79968",9157475016,1052,2052,3052,1917.27,2348.86,-267.18,3977
Joseph,Medina - Sandoval,18-Sep-36,60,"500 W. University Ave, El Paso, TX 79968",9157475023,1059,2059,3059,903.51,3790.64,-678.52,8612
Daniel,Mejia,29-Jan-36,78,"500 W. University Ave, El Paso, TX 79968",9157475041,1077,2077,3077,1887.12,2051.62,-1231.96,7600
Manuel,Melendez Lujan,18-Mar-36,67,"500 W. University Ave, El Paso, TX 79968",9157475030,1066,2066,3066,1311.35,4334.35,-1003.98,7545
Ursela,Mermaid,30-Jun-00,19,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1018,2018,3018,1333.17,1503.63,-1147.68,6570
Alberto,Miranda,5-Oct-38,37,"500 W. University Ave, El Paso, TX 79968",9157475000,1036,2036,3036,474.59,3710.89,-150.6,3649
Ervey,Montes,5-Mar-59,51,"500 W. University Ave, El Paso, TX 79968",9157475014,1050,2050,3050,1584.85,1304.98,-677.71,5439
Mickey,Mouse,25-Apr-92,1,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1000,2000,3000,403.12,4479.46,-1653.84,9151
Minnie,Mouse,3-Nov-94,3,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1002,2002,3002,1894.16,327.99,-239.31,3442
Daniel,N,4-Mar-59,91,"500 W. University Ave, El Paso, TX 79968",9157475054,1090,2090,3090,364.34,2226.15,-1623.03,4837
Grecia,Navarrete,1-Aug-60,56,"500 W. University Ave, El Paso, TX 79968",9157475019,1055,2055,3055,1622.04,2738.6,-305.52,9764
Daniel,O,16-Sep-03,92,"500 W. University Ave, El Paso, TX 79968",9157475055,1091,2091,3091,1710.28,2761.08,-0.1,7732
Gildardo,Orea,13-Mar-51,55,"500 W. University Ave, El Paso, TX 79968",9157475018,1054,2054,3054,291.85,179.25,-1514.01,4072
Mauricio,Ornelas-Gutierrez,7-Aug-36,69,"500 W. University Ave, El Paso, TX 79968",9157475032,1068,2068,3068,192.14,1218.43,-1129.63,6395
Daniel,P,16-Feb-03,93,"500 W. University Ave, El Paso, TX 79968",9157475056,1092,2092,3092,1069.19,3519.67,-1963.63,7626
Peter,Pan,29-May-87,15,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1014,2014,3014,41.62,2252.52,-1137.78,5699
Daniel,Q,7-Feb-71,94,"500 W. University Ave, El Paso, TX 79968",9157475057,1093,2093,3093,498.13,205.32,-673.84,4002
Evil,Queen,19-Dec-42,29,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1028,2028,3028,238.09,4844.83,-367.09,7647
Daniel,R,20-Apr-94,95,"500 W. University Ave, El Paso, TX 79968",9157475058,1094,2094,3094,745.03,1288.97,-1040.57,9008
Juan,Rabelo,29-Apr-52,62,"500 W. University Ave, El Paso, TX 79968",9157475025,1061,2061,3061,1851.26,3607.48,-674.27,3109
Khandoker,Rahad,15-Jun-57,77,"500 W. University Ave, El Paso, TX 79968",9157475040,1076,2076,3076,220.57,1902.09,-157.39,4822
Estevan,Ramos,15-Dec-36,52,"500 W. University Ave, El Paso, TX 79968",9157475015,1051,2051,3051,760.91,2939.07,-860.87,6176
Christopher,Reyes,4-May-89,46,"500 W. University Ave, El Paso, TX 79968",9157475009,1045,2045,3045,1330.23,4039.37,-444.4,9283
Alfredo,Rodriguez,14-Feb-02,40,"500 W. University Ave, El Paso, TX 79968",9157475003,1039,2039,3039,1772.98,3443.94,-1534.35,4766
Jose,Rodriguez Ortega,8-Sep-52,59,"500 W. University Ave, El Paso, TX 79968",9157475022,1058,2058,3058,398.46,789.31,-405.22,8718
Manuel,Ruvalcaba,30-Dec-42,68,"500 W. University Ave, El Paso, TX 79968",9157475031,1067,2067,3067,870.6,1038.13,-326.57,5787
Daniel,S,8-Jan-91,96,"500 W. University Ave, El Paso, TX 79968",9157475059,1095,2095,3095,1197.47,2944.12,-718.69,7282
Daniel,T,22-Oct-92,97,"500 W. University Ave, El Paso, TX 79968",9157475060,1096,2096,3096,894.63,4884.23,-828.59,5066
Yulianna,Torres,20-Aug-92,75,"500 W. University Ave, El Paso, TX 79968",9157475038,1074,2074,3074,1035.19,3391.57,-1545.62,5431
Daniel,U,27-May-88,98,"500 W. University Ave, El Paso, TX 79968",9157475061,1097,2097,3097,417.42,840.66,-978.33,6171
Daniel,V,25-Aug-06,99,"500 W. University Ave, El Paso, TX 79968",9157475062,1098,2098,3098,1187.71,2405.55,-1052.86,8400
Daniel,W,14-Jun-96,100,"500 W. University Ave, El Paso, TX 79968",9157475063,1099,2099,3099,1239.64,261.75,-470.23,7958
Daniel,X,25-Nov-84,101,"500 W. University Ave, El Paso, TX 79968",9157475064,1100,2100,3100,122.74,4668.29,-817.67,5540
Daniel,Y,12-Mar-84,102,"500 W. University Ave, El Paso, TX 79968",9157475065,1101,2101,3101,738.93,3810.87,-199.91,6534
Daniel,Z,9-Aug-56,103,"500 W. University Ave, El Paso, TX 79968",9157475066,1102,2102,3102,1825.29,4635.0,-649.08,5697
Arae,Zarzosa,20-Sep-14,43,"500 W. University Ave, El Paso, TX 79968",9157475006,1042,2042,3042,1994.56,4248.79,-268.92,8629
David,Rodriguez,"August 19, 1992",104,"117 Unknown Way",9159999999,0,4567,0,0.0,9000.0,0.0,0
